name,ver,size,deps,reqBy,reason,installed,desc
"libnotify","0.8.8-1",176582,"gcc-libs gdk-pixbuf2 glib2 glibc","","1","1768360855","Library for sending desktop notifications"
"nss","3.121-1",5478439,"glibc nspr p11-kit sh sqlite zlib","","1","1772285548","Network Security Services"
"cppdap","1.58.0-2",1626292,"gcc-libs glibc","","1","1760810154","C++ library for the Debug Adapter Protocol"
"kuserfeedback","6.23.0-1",2069256,"gcc-libs glibc qt6-base","","1","1771691680","Framework for collecting user feedback for applications via telemetry and surveys"
"jemalloc","1:5.3.0-5",2290812,"gcc-libs glibc","","","1760830610","General-purpose scalable concurrent malloc implementation"
"kcoreaddons","6.23.0-1",3073787,"gcc-libs glibc qt6-base systemd-libs","","1","1771691677","Addons to QtCore"
"zeromq","4.3.5-3",3174264,"glibc gnutls util-linux libsodium libpgm libgcc libstdc++","","1","1771691677","Fast messaging system built on sockets. C and C++ bindings. aka 0MQ, ZMQ."
"dbus-units","37-3",0,"dbus-broker-units","","1","1771691678","D-Bus service units (default provider)"
"v4l-utils","1.32.0-2",11863568,"hicolor-icon-theme libgcc libbpf libjpeg-turbo systemd-libs json-c","","1","1772802693","Userspace tools and conversion library for Video 4 Linux"
"libthai","0.1.30-1",1304396,"glibc libdatrie","","1","1768360851","Thai language support library"
"opencode","1.2.15-1",159875357,"curl gcc-libs glibc icu ripgrep tar","","","1772802695","The open source coding agent"
"lame","3.101.r6531-1",1146852,"glibc mpg123 ncurses","","1","1771691677","A high quality MPEG Audio Layer III (MP3) encoder"
"md4c","0.5.2-1",261508,"glibc","","1","1760830184","C Markdown parser"
"orc","0.4.42-1",1425475,"glibc","","1","1769908517","Optimized Inner Loop Runtime Compiler"
"rsync","3.4.1-2",711797,"acl libacl.so=1-64 lz4 openssl popt xxhash libxxhash.so=0-64 zlib zstd","","","1760839409","A fast and versatile file copying tool for remote and local files"
"linux-firmware-mediatek","20260221-1",26394375,"linux-firmware-whence","","1","1772285550","Firmware files for Linux - Firmware for MediaTek and Ralink devices"
"syndication","6.23.0-1",738772,"gcc-libs glibc kcodecs qt6-base","","1","1771691680","RSS/Atom parser library"
"diff-so-fancy","1.4.4-2",45556,"perl","","","1761270230","Good-looking diffs with diff-highlight and more"
"kbd","2.9.0-1",3245498,"glibc gzip pam","","1","1760765880","Keytable files and keyboard utilities"
